# timestamp tx ty tz qx qy qz qw
1788506792.010088921 -34.814563670 -61.235890275 0.711822108 0.065900555 0.021422979 0.816667200 0.572933554
1788506792.110057116 -34.829575723 -61.197973214 0.709884766 0.063829707 0.023670575 0.816310007 0.573588219
1788506792.210118055 -34.853831022 -61.158445985 0.712843456 0.060690397 0.022026246 0.816467405 0.573770421
1788506792.309998035 -34.867153243 -61.134045126 0.705422065 0.061368507 0.023160545 0.816276996 0.573924526
1788506792.409929037 -34.870526076 -61.115958705 0.707940064 0.062030811 0.020722759 0.815981634 0.574366363
1788506792.509886026 -34.873491042 -61.082521576 0.704864275 0.063184905 0.022537136 0.815792518 0.574440869
1788506792.609792948 -34.901986610 -61.050878178 0.701111266 0.057015251 0.023032664 0.816243987 0.574425375
1788506792.709709883 -34.925065324 -61.017869087 0.701279248 0.058422543 0.021071088 0.815410915 0.575541359
1788506792.809568882 -34.919289898 -60.996054727 0.706481989 0.060758740 0.021772312 0.815327994 0.575390827
1788506792.909518003 -34.918804708 -60.988518231 0.705980699 0.060297720 0.019945323 0.814969713 0.576012791
1788506793.009370089 -34.935707839 -60.953606235 0.705063357 0.059061407 0.022948633 0.815889184 0.574725978
1788506793.109357119 -34.952185294 -60.933102361 0.702476263 0.058626643 0.021925643 0.814330804 0.577016052
1788506793.209306955 -34.963990390 -60.896396691 0.694132299 0.053489682 0.021780697 0.813099709 0.579252379
1788506793.309298038 -34.976721768 -60.883230330 0.690534173 0.060101273 0.018838225 0.812004142 0.580243252
1788506793.409209013 -34.966447037 -60.865723673 0.696543901 0.059470600 0.019635694 0.812457158 0.579647353
1788506793.509166002 -34.986902487 -60.845117942 0.694609742 0.060596033 0.017619497 0.810469372 0.582371935
1788506793.609035015 -34.997491217 -60.820150554 0.698362074 0.058607745 0.017039108 0.810218914 0.582940917
1788506793.708887100 -35.011879801 -60.800291724 0.692260240 0.058584824 0.015372580 0.810103043 0.583150549
1788506793.808774948 -35.023999064 -60.786383422 0.695165234 0.061199866 0.014185870 0.809691757 0.583483158
1788506793.908647060 -35.043340563 -60.746710046 0.695376962 0.059203079 0.015172843 0.809746239 0.583588733
1788506794.008501053 -35.040882597 -60.739869298 0.692663080 0.062491083 0.012463395 0.809163075 0.584118692
1788506794.108330965 -35.053594102 -60.689654789 0.695470164 0.060318097 0.014725800 0.809046922 0.584455264
1788506794.208148956 -35.061144700 -60.688491776 0.686999610 0.063048747 0.011769674 0.809003028 0.584294815
1788506794.308074951 -35.090484462 -60.636869330 0.691557265 0.059995770 0.012863536 0.809041715 0.584539597
1788506794.407820940 -35.091838313 -60.629174647 0.687714132 0.061634738 0.011001421 0.809461713 0.583825200
1788506794.507715940 -35.118788796 -60.578789558 0.688916340 0.056403227 0.012914347 0.810059060 0.583486259
1788506794.607455969 -35.148120651 -60.541098862 0.704987475 0.054517901 0.014110840 0.810972542 0.582367769
1788506794.707309008 -35.152664123 -60.506817692 0.712923415 0.054843503 0.012455970 0.810964488 0.582386160
1788506794.807075977 -35.163299586 -60.480314044 0.717922791 0.055581341 0.012666094 0.811475866 0.581598834
1788506794.906903982 -35.177940719 -60.453239437 0.726103774 0.057577640 0.011423733 0.810852846 0.582298871
1788506795.006654024 -35.183820070 -60.421004905 0.716092333 0.054602939 0.010596247 0.811391662 0.581850332
1788506795.106489897 -35.199460122 -60.420146317 0.705830139 0.058355911 0.007680024 0.810106455 0.583320783
1788506795.206245899 -35.217861713 -60.384867590 0.698947791 0.056018795 0.007453236 0.811369013 0.581796071
1788506795.306071043 -35.235180757 -60.353285765 0.689213711 0.056970343 0.008175275 0.810068933 0.583503101
1788506795.405879021 -35.254509878 -60.306783431 0.702449253 0.053851962 0.009265772 0.810368957 0.583366321
